color,freq,ratio,vid
#999a9b,32,0.0026041666666666665,pxQXY9iaqRU
#0e1e1e,21,0.001708984375,pxQXY9iaqRU
#2c2c2e,12,0.0009765625,pxQXY9iaqRU
#493b2e,10,0.0008138020833333334,pxQXY9iaqRU
#c8ab7f,8,0.0006510416666666666,pxQXY9iaqRU
#a78764,6,0.00048828125,pxQXY9iaqRU
#7b7c7d,6,0.00048828125,pxQXY9iaqRU
#7d695c,3,0.000244140625,pxQXY9iaqRU
#000000,7613,0.6195475260416666,xgifP5RyaFA
#314141,4221,0.343505859375,xgifP5RyaFA
#ffffff,233,0.018961588541666668,xgifP5RyaFA
#616163,63,0.005126953125,xgifP5RyaFA
#c2c2c2,60,0.0048828125,xgifP5RyaFA
#999a9b,32,0.0026041666666666665,xgifP5RyaFA
#0e1e1e,21,0.001708984375,xgifP5RyaFA
#2c2c2e,12,0.0009765625,xgifP5RyaFA
#493b2e,10,0.0008138020833333334,xgifP5RyaFA
#c8ab7f,8,0.0006510416666666666,xgifP5RyaFA
#a78764,6,0.00048828125,xgifP5RyaFA
